wind_speed_kmph,humidity_pct,payload_mass_kg,vehicle_type_index,countdown_hold_min
43.2,69.9,34598.5,4,73.75
32.6,68.5,20281.2,3,86.63
79.0,72.5,29878.5,4,118.13
56.4,31.3,13304.2,4,81.68
23.6,39.5,22844.9,3,46.99
36.1,49.1,16628.2,3,70.97
67.6,58.6,22315.9,1,68.45
66.1,43.8,36824.9,1,45.7
23.6,64.6,35385.4,4,51.85
37.7,88.2,26232.8,2,52.04
29.6,64.5,25594.7,4,65.11
41.3,47.5,29787.0,4,81.83
67.3,58.3,39142.6,1,58.49
30.4,62.6,25787.6,1,32.54
65.1,59.1,10967.3,2,93.51
49.0,46.0,35155.2,4,78.98
31.9,64.5,26017.7,2,52.81
49.1,64.9,38734.0,3,54.73
39.4,43.4,10628.5,3,64.53
27.5,87.8,23181.0,1,32.71
