wind_speed_kmph,humidity_pct,payload_mass_kg,vehicle_type_index,countdown_hold_min
19.9,56.7,15670.8,2,49.32
12.8,54.9,7462.7,4,78.64
26.2,74.8,19789.5,4,80.3
18.6,51.4,1730.5,1,45.06
31.0,44.3,15027.5,4,74.27
24.5,47.0,7801.2,3,66.32
35.4,88.5,15746.6,2,73.44
38.9,77.3,9657.6,4,94.8
26.9,79.3,11723.1,3,80.36
10.4,43.8,6938.6,2,41.16
5.8,53.7,16267.9,4,37.17
26.9,81.5,10793.9,1,64.01
32.0,76.8,13031.3,1,54.16
37.3,45.2,14511.1,3,58.87
0.5,47.4,5642.6,2,28.36
4.1,74.0,1642.6,2,49.43
26.1,74.1,16447.7,3,64.22
33.6,73.6,19435.5,3,87.0
10.5,68.7,5554.3,2,52.89
8.3,86.2,12974.3,3,61.48
39.7,71.3,18827.7,4,102.03
33.6,32.5,3884.7,3,69.62
8.4,71.9,11598.5,4,72.71
13.7,88.5,4823.0,1,57.49
32.4,51.2,15304.5,3,73.8
